times_s,curvature_invm,speed_mps
0.0,-0.003366457956318867,14.277643711969139
0.01,-0.0033965061606477066,14.39414083672785
0.02,-0.0034265543651715545,14.510637960915833
0.03,-0.003456602569240655,14.62713508603512
0.04,-0.00348665077370766,14.743632211154528
0.05,-0.0035104520564994022,14.714496143489558
0.06,-0.003534253339317507,14.685360074731383
0.07,-0.0035580546229314223,14.656224007835878
0.08,-0.0038084063694106287,13.87247956843118
0.09,-0.0040587581158963645,13.088735130340964
0.1,-0.0043091098622115576,12.304990692249577
0.11,-0.0045607896483162505,11.734895751811962
0.12,-0.00481246943452629,11.164800813486188
0.13,-0.005064149220622658,10.594705874228953
0.14,-0.005315829006719074,10.02461093404115
0.15,-0.005655262201641881,8.494744731529241
0.16,-0.005994695396522262,6.964878530519972
0.17,-0.006334128591345817,5.435012329508692
0.18,-0.006357563200886826,5.029598687815
0.19,-0.006380997809894078,4.624185046107546
0.2,-0.006404432419015069,4.218771404865737
0.21,-0.0063737718484806975,4.5660060530609385
0.22,-0.006343111278502006,4.913240701621409
0.23,-0.0063124507080685715,5.260475350414671
0.24,-0.006281790138544661,5.60770999920799
0.25,-0.0062522097973549745,6.217182078264023
0.26,-0.006222629457049138,6.826654157520542
0.27,-0.006193049116061181,7.436126237009966
0.28,-0.006075645453103088,8.0312817029449
0.29,-0.005958241789746551,8.626437168076587
0.3,-0.0058408381266173,9.221592633441142
0.31,-0.005651397316905071,9.726527300829172
0.32,-0.005461956506295988,10.2314619687115
0.33,-0.00527251569636906,10.736396636593678
0.34,-0.005083074886669429,11.24133130447572
0.35000000000000003,-0.004903574531312151,11.556786273342187
0.36,-0.004724074176395534,11.8722412428958
0.37,-0.004544573821933638,12.187696211983694
0.38,-0.00461587173774913,11.722193412777607
0.39,-0.00468716965402235,11.256690612286862
0.4,-0.0047584675698407715,10.791187811795425
0.41000000000000003,-0.004589947510006582,10.825499518387465
0.42,-0.004421427450902372,10.859811225000241
0.43,-0.004252907391116041,10.894122932078659
0.44,-0.004084387331557081,10.928434639157043
0.45,-0.00380165023925363,11.751913833241845
0.46,-0.003518913146279441,12.57539302666185
0.47000000000000003,-0.0032361760537599994,13.398872220081529
0.48,-0.003278195252922155,10.974200154245759
0.49,-0.00332021445230698,8.549528088469453
0.5,-0.0033622336516914856,6.124856022687232
0.51,-0.0032599355124190797,6.283190755950419
0.52,-0.003157637373461728,6.441525489057662
0.53,-0.0030553392339359546,6.599860222164955
0.54,-0.002953041094978604,6.7581949552722005
0.55,-0.002771095236370002,6.361939254010355
0.56,-0.002589149377594669,5.965683552650392
0.5700000000000001,-0.002407203519160349,5.569427851756175
0.58,-0.0023115250555126796,4.617782668063062
0.59,-0.0022158465918527964,3.666137484334989
0.6,-0.002120168128022364,2.7144923015379954
0.61,-0.002255986618619206,5.14056348709102
0.62,-0.002391805109221889,7.566634673165943
0.63,-0.002527623599838813,9.992705859007623
0.64,-0.0026634420904699313,12.41877704484897
0.65,-0.0028398383852026037,12.524392445202507
0.66,-0.0030162346800040487,12.630007846199653
0.67,-0.0031926309747486513,12.73562324719679
0.68,-0.0032459167499776028,13.135592649482032
0.6900000000000001,-0.003299202525041011,13.535562051817507
0.7000000000000001,-0.0033524883002749683,13.935531453221646
0.71,-0.0034473457910214125,13.797105467908043
0.72,-0.003542203281883822,13.65867948313889
0.73,-0.0036370607724620146,13.520253498369783
0.74,-0.003731918263040199,13.381827514531864
0.75,-0.003885710017142587,12.329024889321719
0.76,-0.004039501771190075,11.276222263066146
0.77,-0.004193293525180761,10.223419636809606
0.78,-0.004468189727601482,7.739485997452226
0.79,-0.0047430859302078935,5.2555523583849535
0.8,-0.005017982132757501,2.77161872025632
0.81,-0.005218181518170239,3.3633605905333805
0.8200000000000001,-0.005418380903579883,3.9551024608362537
0.8300000000000001,-0.005618580288875885,4.546844331080997
0.84,-0.005818779674626666,5.138586201325808
0.85,-0.0060244058976111695,5.733264975169308
0.86,-0.006230032120425438,6.327943749111018
0.87,-0.006435658343580744,6.922622523052551
0.88,-0.006481036118401018,6.843983710153334
0.89,-0.006526413893387982,6.765344897145472
0.9,-0.006571791667920193,6.686706083671997
0.91,-0.0066100340909371206,7.205029462909464
0.92,-0.0066482765149401095,7.723352841882388
0.93,-0.006686518938261033,8.241676220855148
0.9400000000000001,-0.006724761361354546,8.759999599827697
0.9500000000000001,-0.006734717355040218,8.025503449020821
0.96,-0.00674467334889427,7.29100729912277
0.97,-0.006754629342293587,6.556511149224366
0.98,-0.006810309601719571,7.022222877305106
0.99,-0.0068659898610593795,7.487934605480477
1.0,-0.006921670120626611,7.953646333190455
1.01,-0.0069392421736464175,8.202540227068617
1.02,-0.006956814225754338,8.451434121282315
1.03,-0.006974386278544384,8.700328015030305
1.04,-0.006991958331789179,8.949221908778199
1.05,-0.007000794824079559,9.04621303090092
1.06,-0.007009631315945046,9.143204152624579
1.07,-0.007018467807583154,9.240195274348105
1.08,-0.007018091935051448,9.29681108858326
1.09,-0.007017716061526003,9.353426901743754
1.1,-0.007017340188682679,9.410042714904197
1.11,-0.007012381829970053,9.580457607896143
1.12,-0.007007423471291264,9.750872502573866
1.1300000000000001,-0.0070024651128398705,9.921287396320349
1.1400000000000001,-0.006997506754161093,10.091702290066705
1.1500000000000001,-0.007030943415464311,10.211218749529571
1.16,-0.007064380076955486,10.330735207981682
1.17,-0.007097816738219292,10.450251665968231
1.18,-0.007136088446595339,10.559922104124695
1.19,-0.007174360155241058,10.669592542417353
1.2,-0.007212631864114137,10.779262980244367
