times_s,curvature_invm,speed_mps
0.0,-0.004195649307624212,9.874276605662958
0.01,-0.004246792862821959,9.871030415110614
0.02,-0.00429793641836258,9.867784225533242
0.03,-0.004349079972993707,9.86453803502455
0.04,-0.004400223528420641,9.86129184544718
0.05,-0.004434699636467919,9.852435116723079
0.06,-0.004469175744127925,9.843578388493935
0.07,-0.004503651851787967,9.834721662127425
0.08,-0.004734563860970558,9.817270604038985
0.09,-0.004965475870160148,9.799819546789022
0.1,-0.005196387879349679,9.782368490470372
0.11,-0.005462939627012107,9.76346310954353
0.12,-0.0057294913744245675,9.744557728537488
0.13,-0.005996043121837007,9.725652347531415
0.14,-0.006262594869419985,9.706746966525312
0.15,-0.00666793202907125,9.682725051859272
0.16,-0.007073269188548438,9.658703134989132
0.17,-0.00747860634848015,9.634681219050266
0.18,-0.007454604442435697,9.620480819773265
0.19,-0.007430602536084966,9.606280420718
0.2,-0.0074066006292795835,9.592080020731416
0.21,-0.007343670586020935,9.587016396205138
0.22,-0.007280740542649815,9.5819527721982
0.23,-0.007217810499733421,9.576889147725609
0.24,-0.007154880456362296,9.571825523253018
0.25,-0.0071830791551148266,9.572037944813971
0.26,-0.007211277853598605,9.572250367163253
0.27,-0.0072394765516276376,9.572462789046876
0.28,-0.00718667502129862,9.574739866724176
0.29,-0.007133873490741943,9.577016944369852
0.3,-0.007081071960185266,9.579294022481191
0.31,-0.006972701247413775,9.581477599847233
0.32,-0.006864330535382144,9.583661177318819
0.33,-0.00675595982198628,9.58584475479041
0.34,-0.0066475891094999046,9.588028332262
0.35000000000000003,-0.006558011273143765,9.587611324948547
0.36,-0.00646843343728638,9.587194318025206
0.37,-0.00637885560097425,9.586777311101867
0.38,-0.00650431014563126,9.579855452287651
0.39,-0.006629764689784257,9.572933594905173
0.4,-0.006755219234278379,9.566011737057046
0.41000000000000003,-0.0066962317143241515,9.56036331914099
0.42,-0.0066372441939941155,9.55471490187885
0.43,-0.006578256673209341,9.549066484616722
0.44,-0.006519269152879301,9.543418067820259
0.45,-0.006363722635659271,9.540330190342193
0.46,-0.006208176118502612,9.537242312434113
0.47000000000000003,-0.0060526296006638645,9.534154434526034
0.48,-0.006185995185637799,9.510962341670158
0.49,-0.006319360770840722,9.48777024868557
0.5,-0.00645272635604382,9.464578156166695
0.51,-0.00645221548336099,9.457640590723214
0.52,-0.006451704611560723,9.450703024147218
0.53,-0.006451193739760404,9.443765458502531
0.54,-0.006450682867277956,9.436827892392188
0.55,-0.00647041326514384,9.429796338977674
0.56,-0.006490143663237186,9.422764784745153
0.5700000000000001,-0.006509874061216876,9.415733230978315
0.58,-0.006785055248263587,9.409772362727102
0.59,-0.007060236435393873,9.403811494586096
0.6,-0.007335417622524159,9.397850626445086
0.61,-0.007219534154239522,9.415460678581784
0.62,-0.0071036506859577485,9.433070731305088
0.63,-0.006987767217676183,9.450680783562792
0.64,-0.006871883749394433,9.468290835820481
0.65,-0.006874591635138989,9.471349215166297
0.66,-0.00687729952115069,9.474407595139466
0.67,-0.00688000740716238,9.477465974646972
0.68,-0.006856064780263852,9.478737822194459
0.6900000000000001,-0.006832122153082471,9.48000967014001
0.7000000000000001,-0.0068081795263558375,9.481281518085563
0.71,-0.006862572032046053,9.475407646598066
0.72,-0.006916964538315188,9.469533774108603
0.73,-0.006971357044470621,9.463659901619147
0.74,-0.007025749550739694,9.457786029595331
0.75,-0.007160047407951277,9.443416627742813
0.76,-0.007294345265339957,9.42904722634918
0.77,-0.007428643122273944,9.4146778235586
0.78,-0.007700668173143847,9.392344564259666
0.79,-0.007972693224151688,9.37001130673696
0.8,-0.00824471827481841,9.347678048748595
0.81,-0.00811013177408125,9.347297938242955
0.8200000000000001,-0.007975545273741641,9.346917828014924
0.8300000000000001,-0.007840958773856776,9.346537718252556
0.84,-0.007706372273971914,9.346157608024527
0.85,-0.0077078311615823925,9.350001157649233
0.86,-0.007709290049317598,9.353844708732455
0.87,-0.0077107489377349105,9.357688259815689
0.88,-0.007576980289821227,9.360599524114678
0.89,-0.007443211642606502,9.363510787377892
0.9,-0.007309442994937012,9.36642205157242
0.91,-0.0072307621089194914,9.374998464407348
0.92,-0.007152081222277886,9.383574877533107
